0,1,2,3,4,5,6,7,8,9,10
"[482, 252]","[523, 210]","[432, 215]","[774, 1110]","[181, 460]","[788, 1219]","[169, 375]","[751, 1215]","[183, 352]","[716, 1166]","[200, 382]"
"[481, 259]","[519, 217]","[431, 222]","[760, 1104]","[189, 439]","[777, 1212]","[176, 355]","[743, 1210]","[190, 332]","[715, 1158]","[208, 364]"
"[478, 263]","[516, 221]","[429, 226]","[757, 1096]","[191, 441]","[774, 1204]","[178, 358]","[741, 1203]","[191, 332]","[718, 1151]","[209, 363]"
"[476, 265]","[514, 223]","[428, 228]","[753, 1099]","[191, 440]","[772, 1206]","[179, 356]","[736, 1203]","[191, 329]","[715, 1150]","[209, 359]"
"[474, 265]","[513, 223]","[427, 228]","[754, 1098]","[191, 439]","[772, 1204]","[179, 354]","[735, 1202]","[191, 327]","[709, 1149]","[208, 355]"
"[473, 266]","[513, 224]","[427, 229]","[755, 1099]","[190, 441]","[774, 1205]","[179, 355]","[735, 1202]","[191, 328]","[712, 1150]","[208, 357]"
"[472, 266]","[512, 223]","[426, 229]","[756, 1099]","[190, 440]","[775, 1205]","[179, 353]","[736, 1202]","[191, 326]","[713, 1151]","[208, 355]"
"[471, 265]","[511, 223]","[425, 228]","[756, 1099]","[190, 438]","[775, 1206]","[179, 349]","[735, 1202]","[191, 324]","[714, 1151]","[208, 352]"
"[470, 265]","[511, 223]","[424, 228]","[756, 1100]","[190, 435]","[775, 1206]","[180, 345]","[735, 1203]","[192, 321]","[715, 1152]","[208, 349]"
"[469, 265]","[511, 223]","[424, 228]","[754, 1100]","[190, 435]","[775, 1206]","[180, 344]","[736, 1203]","[193, 320]","[715, 1152]","[210, 349]"
"[468, 265]","[510, 223]","[423, 228]","[752, 1103]","[190, 437]","[771, 1207]","[180, 345]","[735, 1207]","[193, 321]","[715, 1157]","[210, 350]"
"[468, 265]","[510, 223]","[423, 228]","[750, 1106]","[190, 438]","[769, 1209]","[179, 346]","[734, 1212]","[192, 322]","[714, 1160]","[209, 352]"
"[468, 265]","[511, 223]","[423, 228]","[750, 1112]","[190, 438]","[768, 1214]","[179, 345]","[734, 1216]","[192, 321]","[714, 1162]","[209, 352]"
"[468, 265]","[511, 223]","[423, 228]","[750, 1116]","[189, 438]","[768, 1216]","[178, 345]","[734, 1217]","[192, 320]","[713, 1163]","[208, 351]"
"[468, 265]","[511, 223]","[423, 228]","[750, 1116]","[187, 436]","[768, 1216]","[176, 344]","[734, 1218]","[190, 320]","[714, 1164]","[206, 349]"
"[468, 264]","[511, 223]","[423, 228]","[750, 1118]","[186, 434]","[767, 1217]","[175, 343]","[734, 1219]","[189, 319]","[713, 1167]","[205, 348]"
"[468, 264]","[511, 223]","[423, 228]","[750, 1117]","[183, 433]","[755, 1210]","[173, 343]","[734, 1218]","[187, 318]","[713, 1164]","[203, 346]"
"[468, 264]","[511, 223]","[423, 228]","[750, 1117]","[182, 432]","[756, 1210]","[172, 342]","[734, 1217]","[186, 317]","[713, 1163]","[201, 345]"
"[468, 264]","[511, 223]","[423, 228]","[750, 1119]","[182, 428]","[757, 1214]","[172, 340]","[733, 1218]","[186, 317]","[713, 1163]","[201, 345]"
"[468, 264]","[511, 223]","[423, 227]","[750, 1122]","[182, 430]","[756, 1222]","[171, 342]","[727, 1219]","[185, 318]","[711, 1163]","[200, 346]"
"[469, 264]","[511, 223]","[423, 227]","[750, 1125]","[177, 430]","[757, 1229]","[166, 342]","[726, 1221]","[179, 318]","[711, 1169]","[194, 345]"
"[469, 264]","[512, 223]","[423, 227]","[749, 1129]","[176, 429]","[757, 1233]","[164, 341]","[726, 1225]","[177, 317]","[710, 1175]","[192, 345]"
"[469, 264]","[512, 222]","[423, 227]","[749, 1142]","[173, 430]","[757, 1243]","[157, 342]","[725, 1242]","[171, 317]","[690, 1180]","[187, 345]"
"[469, 263]","[512, 222]","[423, 226]","[750, 1144]","[171, 430]","[757, 1245]","[156, 342]","[726, 1245]","[169, 317]","[685, 1181]","[186, 346]"
"[469, 263]","[512, 222]","[423, 226]","[751, 1143]","[170, 429]","[766, 1245]","[155, 341]","[730, 1245]","[169, 317]","[687, 1180]","[185, 345]"
"[468, 262]","[512, 221]","[422, 225]","[752, 1143]","[174, 430]","[772, 1244]","[162, 340]","[733, 1243]","[177, 317]","[688, 1179]","[194, 345]"
"[467, 261]","[511, 221]","[421, 225]","[753, 1143]","[192, 430]","[773, 1245]","[186, 340]","[734, 1243]","[200, 317]","[689, 1182]","[218, 345]"
"[465, 261]","[509, 220]","[420, 225]","[754, 1143]","[209, 433]","[776, 1246]","[204, 342]","[735, 1245]","[219, 318]","[689, 1187]","[238, 348]"
"[464, 260]","[509, 220]","[420, 225]","[755, 1142]","[213, 441]","[776, 1246]","[207, 350]","[735, 1245]","[222, 324]","[689, 1187]","[241, 357]"
"[464, 260]","[508, 220]","[419, 224]","[753, 1151]","[211, 466]","[776, 1259]","[204, 377]","[734, 1260]","[219, 349]","[688, 1204]","[238, 386]"
"[464, 259]","[508, 219]","[419, 224]","[753, 1158]","[201, 481]","[775, 1265]","[186, 399]","[732, 1262]","[200, 365]","[687, 1210]","[218, 404]"
"[465, 258]","[509, 218]","[420, 223]","[750, 1159]","[180, 495]","[766, 1266]","[161, 414]","[728, 1262]","[176, 379]","[684, 1212]","[191, 418]"
"[466, 257]","[510, 217]","[421, 222]","[750, 1158]","[169, 523]","[766, 1264]","[147, 445]","[728, 1261]","[163, 413]","[695, 1211]","[179, 447]"
"[467, 257]","[510, 217]","[421, 222]","[751, 1158]","[166, 532]","[767, 1261]","[145, 455]","[728, 1259]","[162, 424]","[703, 1209]","[178, 455]"
"[467, 256]","[510, 217]","[421, 222]","[753, 1154]","[165, 542]","[769, 1257]","[147, 461]","[730, 1256]","[164, 429]","[711, 1205]","[179, 460]"
"[467, 256]","[511, 217]","[421, 222]","[756, 1145]","[166, 555]","[773, 1253]","[147, 471]","[732, 1252]","[165, 439]","[710, 1196]","[181, 468]"
"[467, 256]","[511, 217]","[421, 222]","[759, 1138]","[170, 576]","[776, 1249]","[152, 487]","[735, 1243]","[171, 460]","[710, 1188]","[189, 488]"
"[467, 256]","[511, 217]","[421, 221]","[760, 1137]","[173, 583]","[777, 1247]","[156, 498]","[735, 1242]","[175, 471]","[710, 1186]","[193, 496]"
"[467, 256]","[511, 217]","[421, 221]","[760, 1137]","[177, 593]","[778, 1247]","[162, 509]","[736, 1242]","[179, 479]","[709, 1185]","[197, 505]"
"[467, 256]","[512, 216]","[421, 221]","[761, 1137]","[180, 603]","[778, 1246]","[166, 520]","[736, 1242]","[184, 490]","[709, 1184]","[202, 516]"
"[468, 256]","[512, 216]","[421, 221]","[761, 1137]","[181, 607]","[778, 1246]","[167, 528]","[736, 1242]","[185, 498]","[709, 1184]","[202, 523]"
"[468, 256]","[512, 216]","[421, 221]","[761, 1137]","[182, 611]","[778, 1245]","[168, 534]","[736, 1242]","[186, 503]","[709, 1183]","[203, 528]"
"[468, 256]","[512, 216]","[421, 221]","[761, 1137]","[182, 619]","[777, 1244]","[167, 544]","[736, 1239]","[184, 508]","[709, 1180]","[201, 532]"
"[468, 256]","[513, 216]","[421, 221]","[761, 1136]","[182, 633]","[777, 1243]","[167, 560]","[736, 1236]","[183, 520]","[709, 1175]","[199, 545]"
"[469, 256]","[514, 216]","[422, 221]","[761, 1135]","[182, 655]","[776, 1238]","[167, 588]","[736, 1233]","[180, 545]","[709, 1169]","[196, 568]"
"[470, 256]","[515, 215]","[422, 221]","[761, 1132]","[182, 660]","[776, 1234]","[165, 594]","[736, 1232]","[176, 551]","[709, 1162]","[192, 574]"
"[470, 256]","[515, 215]","[422, 221]","[761, 1127]","[180, 673]","[776, 1230]","[165, 608]","[736, 1229]","[176, 564]","[710, 1155]","[191, 588]"
"[471, 257]","[516, 215]","[422, 221]","[761, 1123]","[175, 681]","[776, 1227]","[164, 630]","[737, 1226]","[175, 577]","[713, 1152]","[188, 596]"
"[471, 257]","[516, 214]","[422, 221]","[762, 1120]","[168, 682]","[776, 1223]","[162, 630]","[737, 1220]","[172, 577]","[717, 1151]","[183, 595]"
"[471, 257]","[516, 214]","[423, 221]","[762, 1120]","[163, 684]","[776, 1221]","[161, 634]","[737, 1216]","[170, 583]","[718, 1152]","[179, 599]"
"[471, 257]","[516, 214]","[423, 221]","[763, 1120]","[155, 683]","[776, 1220]","[158, 634]","[737, 1213]","[168, 585]","[719, 1152]","[176, 599]"
"[471, 257]","[516, 214]","[423, 221]","[763, 1120]","[152, 684]","[776, 1220]","[155, 643]","[737, 1212]","[167, 592]","[720, 1153]","[174, 604]"
"[472, 257]","[516, 214]","[423, 221]","[766, 1121]","[152, 697]","[779, 1224]","[151, 664]","[740, 1212]","[163, 611]","[721, 1159]","[171, 624]"
