0,1,2,3,4,5,6,7,8,9,10
"[491, 238]","[538, 210]","[456, 201]","[660, 578]","[252, 495]","[643, 507]","[341, 473]","[648, 480]","[359, 455]","[642, 505]","[348, 466]"
"[500, 249]","[545, 222]","[467, 212]","[657, 578]","[268, 495]","[641, 511]","[355, 477]","[647, 488]","[372, 459]","[641, 510]","[361, 469]"
"[506, 257]","[547, 230]","[472, 219]","[657, 581]","[276, 495]","[640, 519]","[358, 479]","[646, 501]","[374, 463]","[640, 523]","[363, 473]"
"[507, 258]","[548, 230]","[472, 220]","[658, 586]","[274, 495]","[642, 530]","[355, 481]","[648, 511]","[372, 465]","[641, 531]","[360, 474]"
"[507, 258]","[549, 230]","[471, 221]","[659, 592]","[272, 495]","[646, 537]","[352, 483]","[651, 518]","[370, 466]","[644, 537]","[358, 475]"
"[507, 257]","[550, 230]","[470, 221]","[659, 595]","[271, 496]","[647, 539]","[351, 485]","[651, 519]","[369, 468]","[644, 538]","[357, 476]"
"[507, 256]","[550, 229]","[470, 220]","[660, 600]","[269, 496]","[647, 542]","[350, 485]","[651, 522]","[368, 468]","[644, 542]","[356, 476]"
"[507, 255]","[550, 228]","[469, 220]","[660, 601]","[269, 495]","[647, 541]","[349, 485]","[651, 521]","[367, 468]","[644, 542]","[355, 476]"
"[508, 255]","[551, 228]","[469, 220]","[660, 601]","[268, 496]","[647, 540]","[349, 485]","[651, 520]","[367, 468]","[644, 541]","[355, 476]"
"[508, 255]","[551, 228]","[469, 220]","[660, 601]","[268, 496]","[647, 539]","[349, 485]","[651, 520]","[366, 468]","[644, 541]","[355, 476]"
"[508, 254]","[551, 228]","[469, 219]","[660, 601]","[268, 495]","[647, 539]","[348, 485]","[651, 519]","[366, 468]","[644, 540]","[354, 476]"
"[508, 254]","[552, 227]","[469, 219]","[660, 601]","[268, 495]","[647, 539]","[348, 485]","[651, 519]","[366, 468]","[644, 541]","[354, 476]"
"[508, 254]","[552, 227]","[469, 219]","[661, 604]","[268, 495]","[647, 541]","[348, 485]","[652, 523]","[366, 468]","[644, 544]","[354, 476]"
