0,1,2,3,4,5,6,7,8,9,10
"[481, 326]","[534, 286]","[461, 284]","[666, 825]","[226, 763]","[627, 823]","[293, 740]","[619, 754]","[295, 684]","[618, 768]","[283, 684]"
"[482, 319]","[540, 278]","[459, 275]","[692, 833]","[236, 752]","[656, 845]","[302, 724]","[645, 782]","[303, 664]","[646, 785]","[288, 667]"
"[484, 314]","[544, 273]","[458, 272]","[692, 833]","[246, 748]","[651, 842]","[315, 722]","[643, 774]","[312, 662]","[663, 750]","[296, 664]"
"[486, 313]","[546, 273]","[458, 270]","[675, 836]","[252, 745]","[618, 825]","[325, 718]","[625, 778]","[318, 657]","[632, 768]","[303, 659]"
"[486, 313]","[547, 273]","[457, 269]","[686, 836]","[257, 746]","[627, 820]","[328, 719]","[624, 778]","[321, 659]","[630, 774]","[307, 662]"
"[492, 311]","[551, 272]","[458, 268]","[680, 837]","[260, 744]","[632, 826]","[328, 717]","[623, 779]","[321, 658]","[629, 778]","[308, 661]"
"[495, 312]","[553, 273]","[459, 269]","[677, 837]","[260, 739]","[619, 822]","[329, 713]","[612, 773]","[324, 655]","[619, 775]","[311, 659]"
"[497, 311]","[554, 273]","[459, 269]","[672, 827]","[262, 736]","[612, 803]","[331, 710]","[616, 736]","[326, 653]","[629, 740]","[312, 657]"
"[499, 312]","[555, 274]","[460, 269]","[670, 824]","[265, 735]","[609, 799]","[332, 709]","[617, 729]","[327, 652]","[632, 733]","[315, 656]"
"[503, 313]","[559, 275]","[463, 270]","[669, 823]","[265, 735]","[608, 798]","[333, 709]","[618, 725]","[327, 652]","[632, 732]","[315, 656]"
"[504, 313]","[560, 275]","[463, 271]","[668, 822]","[266, 734]","[606, 795]","[333, 709]","[615, 726]","[328, 652]","[629, 732]","[315, 656]"
"[504, 314]","[560, 276]","[464, 271]","[666, 823]","[266, 733]","[604, 798]","[332, 709]","[615, 730]","[327, 651]","[629, 735]","[315, 656]"
"[504, 314]","[561, 276]","[464, 272]","[665, 823]","[266, 734]","[604, 800]","[333, 710]","[617, 733]","[327, 652]","[630, 737]","[315, 656]"
"[504, 315]","[561, 277]","[464, 272]","[664, 824]","[267, 735]","[606, 802]","[333, 711]","[618, 735]","[327, 652]","[631, 739]","[316, 656]"
"[504, 316]","[561, 278]","[464, 273]","[664, 823]","[267, 734]","[605, 803]","[333, 710]","[618, 736]","[327, 652]","[631, 738]","[316, 656]"
"[504, 317]","[561, 279]","[464, 274]","[663, 821]","[267, 735]","[604, 801]","[333, 711]","[617, 732]","[327, 653]","[629, 734]","[316, 657]"
"[504, 317]","[561, 279]","[465, 274]","[661, 819]","[267, 735]","[603, 799]","[334, 711]","[615, 731]","[328, 653]","[628, 733]","[317, 657]"
"[504, 317]","[560, 280]","[465, 275]","[661, 818]","[267, 734]","[602, 798]","[335, 710]","[614, 730]","[329, 652]","[627, 732]","[318, 656]"
"[504, 318]","[560, 280]","[465, 276]","[661, 818]","[269, 733]","[602, 799]","[337, 709]","[614, 731]","[331, 651]","[627, 732]","[320, 655]"
"[504, 319]","[560, 281]","[466, 277]","[662, 817]","[270, 732]","[602, 799]","[337, 708]","[614, 730]","[332, 650]","[627, 732]","[321, 654]"
"[504, 319]","[560, 281]","[466, 277]","[664, 815]","[271, 732]","[604, 798]","[338, 707]","[615, 728]","[332, 649]","[629, 730]","[321, 653]"
"[504, 320]","[560, 282]","[466, 278]","[667, 811]","[272, 730]","[610, 792]","[338, 705]","[621, 723]","[333, 649]","[635, 726]","[322, 653]"
"[504, 320]","[560, 283]","[467, 279]","[669, 805]","[272, 730]","[611, 782]","[338, 705]","[623, 715]","[333, 649]","[637, 718]","[321, 653]"
