0,1,2,3,4,5,6,7,8,9,10
"[474, 238]","[522, 199]","[436, 204]","[745, 647]","[192, 643]","[718, 588]","[204, 601]","[731, 552]","[225, 564]","[733, 569]","[227, 578]"
"[471, 221]","[521, 185]","[423, 186]","[766, 652]","[189, 657]","[739, 582]","[221, 600]","[750, 542]","[228, 561]","[754, 565]","[223, 577]"
"[468, 224]","[521, 188]","[419, 186]","[761, 665]","[181, 665]","[740, 592]","[219, 602]","[756, 549]","[223, 561]","[760, 572]","[220, 579]"
"[468, 221]","[521, 182]","[418, 183]","[762, 676]","[182, 671]","[743, 598]","[218, 604]","[762, 555]","[221, 563]","[766, 576]","[218, 581]"
"[468, 219]","[522, 177]","[417, 183]","[762, 677]","[183, 672]","[744, 601]","[221, 604]","[764, 558]","[224, 560]","[766, 579]","[217, 579]"
"[468, 216]","[522, 175]","[418, 180]","[764, 677]","[181, 671]","[743, 593]","[218, 604]","[759, 547]","[222, 558]","[763, 573]","[216, 577]"
"[469, 216]","[522, 175]","[418, 180]","[764, 674]","[177, 670]","[743, 588]","[216, 604]","[759, 543]","[220, 557]","[764, 570]","[216, 576]"
"[469, 218]","[522, 179]","[418, 182]","[761, 665]","[177, 669]","[740, 578]","[216, 604]","[756, 534]","[219, 557]","[761, 561]","[215, 575]"
"[469, 220]","[522, 180]","[417, 182]","[759, 665]","[176, 668]","[740, 582]","[215, 604]","[755, 539]","[218, 558]","[759, 564]","[215, 576]"
"[469, 219]","[522, 178]","[416, 181]","[758, 665]","[176, 668]","[740, 584]","[216, 601]","[756, 542]","[219, 553]","[759, 566]","[215, 572]"
"[469, 218]","[522, 178]","[416, 180]","[760, 663]","[175, 668]","[740, 584]","[215, 601]","[756, 542]","[218, 552]","[759, 566]","[213, 570]"
"[470, 216]","[523, 175]","[416, 177]","[762, 661]","[172, 668]","[744, 583]","[215, 602]","[759, 541]","[218, 552]","[761, 565]","[212, 570]"
"[470, 215]","[523, 174]","[416, 176]","[764, 657]","[170, 668]","[745, 582]","[213, 603]","[759, 539]","[216, 552]","[760, 564]","[209, 571]"
"[470, 215]","[523, 174]","[416, 175]","[767, 656]","[168, 667]","[747, 583]","[212, 603]","[761, 540]","[215, 552]","[763, 564]","[206, 572]"
"[471, 214]","[523, 174]","[416, 174]","[767, 655]","[167, 667]","[747, 582]","[211, 603]","[761, 539]","[214, 553]","[763, 564]","[205, 572]"
"[471, 214]","[523, 173]","[416, 173]","[769, 655]","[167, 666]","[748, 583]","[211, 603]","[762, 540]","[213, 552]","[765, 564]","[205, 572]"
"[471, 214]","[523, 173]","[416, 173]","[769, 655]","[167, 666]","[748, 583]","[211, 602]","[763, 540]","[213, 552]","[765, 564]","[205, 571]"
"[471, 214]","[523, 173]","[416, 173]","[770, 655]","[167, 664]","[750, 584]","[211, 602]","[763, 540]","[213, 551]","[766, 564]","[205, 570]"
"[472, 213]","[523, 172]","[416, 173]","[769, 655]","[168, 664]","[750, 585]","[211, 602]","[763, 541]","[213, 551]","[765, 565]","[205, 570]"
"[472, 213]","[523, 172]","[416, 173]","[769, 654]","[168, 664]","[750, 585]","[211, 602]","[763, 541]","[213, 551]","[765, 565]","[204, 570]"
"[472, 213]","[523, 172]","[416, 173]","[770, 654]","[167, 664]","[751, 585]","[211, 602]","[765, 542]","[213, 551]","[767, 565]","[204, 570]"
"[472, 213]","[523, 172]","[416, 173]","[771, 654]","[167, 664]","[752, 586]","[210, 602]","[766, 542]","[213, 552]","[768, 565]","[204, 570]"
"[473, 212]","[523, 172]","[416, 173]","[771, 653]","[167, 663]","[752, 586]","[210, 602]","[766, 542]","[212, 552]","[768, 565]","[204, 570]"
"[473, 212]","[524, 172]","[417, 173]","[772, 653]","[168, 663]","[752, 586]","[210, 602]","[767, 542]","[212, 552]","[769, 566]","[204, 570]"
"[473, 212]","[524, 172]","[417, 173]","[772, 651]","[168, 663]","[752, 584]","[210, 602]","[766, 541]","[211, 552]","[768, 564]","[204, 570]"
"[473, 212]","[524, 172]","[417, 173]","[772, 649]","[168, 663]","[751, 583]","[210, 602]","[766, 539]","[211, 552]","[768, 563]","[203, 571]"
"[473, 212]","[524, 172]","[417, 173]","[773, 649]","[168, 663]","[751, 583]","[210, 602]","[766, 540]","[211, 552]","[768, 563]","[203, 571]"
"[474, 212]","[524, 172]","[417, 173]","[773, 649]","[168, 663]","[751, 583]","[210, 602]","[765, 540]","[211, 552]","[768, 563]","[203, 571]"
"[474, 212]","[524, 172]","[417, 173]","[772, 649]","[168, 663]","[751, 584]","[210, 602]","[765, 540]","[211, 552]","[768, 564]","[203, 571]"
"[475, 213]","[524, 172]","[418, 173]","[773, 649]","[168, 663]","[751, 584]","[210, 602]","[765, 540]","[211, 552]","[768, 564]","[203, 571]"
"[475, 213]","[525, 172]","[418, 173]","[773, 649]","[168, 662]","[751, 584]","[210, 602]","[766, 540]","[211, 552]","[768, 564]","[203, 571]"
"[476, 213]","[525, 172]","[418, 173]","[773, 649]","[168, 662]","[750, 584]","[210, 602]","[766, 540]","[211, 553]","[768, 564]","[203, 571]"
"[476, 213]","[525, 172]","[419, 173]","[773, 649]","[168, 662]","[750, 584]","[211, 602]","[766, 541]","[211, 553]","[769, 564]","[203, 571]"
"[476, 214]","[525, 172]","[419, 174]","[773, 650]","[168, 662]","[750, 585]","[211, 602]","[767, 541]","[211, 553]","[769, 566]","[203, 571]"
"[476, 215]","[526, 172]","[419, 174]","[774, 650]","[168, 662]","[751, 586]","[211, 602]","[769, 543]","[211, 553]","[771, 567]","[203, 571]"
"[477, 215]","[526, 173]","[419, 175]","[775, 651]","[168, 662]","[752, 586]","[211, 602]","[769, 543]","[211, 553]","[771, 567]","[203, 571]"
"[477, 215]","[526, 173]","[419, 175]","[776, 650]","[169, 662]","[752, 585]","[211, 601]","[770, 542]","[211, 552]","[772, 566]","[204, 570]"
"[478, 216]","[526, 173]","[419, 176]","[776, 649]","[169, 661]","[752, 585]","[211, 600]","[769, 541]","[211, 552]","[771, 565]","[204, 569]"
"[478, 216]","[526, 173]","[419, 177]","[776, 648]","[169, 660]","[752, 584]","[211, 600]","[769, 540]","[211, 551]","[771, 564]","[204, 568]"
"[478, 216]","[526, 173]","[419, 177]","[776, 647]","[169, 660]","[752, 583]","[211, 599]","[769, 539]","[211, 551]","[771, 563]","[204, 568]"
"[478, 217]","[527, 173]","[419, 177]","[776, 647]","[169, 659]","[752, 582]","[211, 599]","[769, 539]","[211, 551]","[771, 563]","[204, 568]"
"[478, 217]","[527, 174]","[419, 178]","[776, 647]","[169, 659]","[752, 582]","[211, 598]","[769, 539]","[212, 550]","[771, 563]","[204, 567]"
"[479, 217]","[527, 174]","[419, 179]","[776, 647]","[169, 658]","[752, 581]","[211, 598]","[769, 538]","[212, 550]","[771, 562]","[204, 567]"
"[479, 218]","[528, 175]","[419, 179]","[776, 647]","[170, 658]","[752, 581]","[211, 598]","[769, 538]","[212, 550]","[771, 562]","[204, 567]"
"[480, 218]","[529, 175]","[419, 179]","[776, 647]","[170, 657]","[752, 581]","[211, 597]","[769, 538]","[212, 549]","[771, 562]","[205, 566]"
"[480, 218]","[529, 175]","[419, 180]","[776, 647]","[170, 657]","[752, 581]","[211, 597]","[769, 538]","[212, 549]","[771, 563]","[205, 566]"
"[480, 218]","[529, 175]","[420, 180]","[776, 648]","[171, 657]","[752, 583]","[211, 597]","[769, 540]","[212, 549]","[772, 564]","[205, 566]"
"[481, 218]","[530, 175]","[420, 180]","[776, 648]","[171, 657]","[753, 583]","[212, 596]","[770, 541]","[212, 549]","[772, 565]","[205, 566]"
"[481, 218]","[530, 175]","[420, 180]","[777, 648]","[172, 656]","[753, 583]","[212, 596]","[771, 541]","[212, 549]","[773, 565]","[206, 566]"
"[481, 218]","[530, 175]","[420, 180]","[777, 648]","[172, 656]","[753, 584]","[212, 596]","[771, 542]","[213, 549]","[773, 565]","[206, 566]"
"[481, 218]","[530, 175]","[420, 180]","[777, 648]","[172, 656]","[753, 584]","[212, 595]","[771, 542]","[213, 548]","[773, 565]","[206, 566]"
"[481, 218]","[531, 175]","[420, 180]","[778, 648]","[172, 656]","[754, 584]","[212, 595]","[772, 542]","[213, 548]","[774, 565]","[206, 566]"
"[481, 218]","[531, 175]","[420, 180]","[778, 649]","[173, 655]","[754, 585]","[212, 594]","[772, 542]","[213, 548]","[774, 565]","[207, 566]"
"[482, 218]","[531, 175]","[421, 180]","[779, 649]","[173, 655]","[754, 585]","[212, 594]","[772, 542]","[213, 548]","[774, 566]","[207, 566]"
"[482, 218]","[532, 175]","[421, 180]","[779, 650]","[173, 655]","[754, 586]","[212, 594]","[772, 543]","[213, 548]","[775, 567]","[207, 566]"
