0,1,2,3,4,5,6,7,8,9,10
"[462, 257]","[509, 220]","[417, 225]","[745, 1114]","[191, 568]","[763, 1188]","[202, 535]","[749, 1199]","[227, 503]","[728, 1165]","[229, 511]"
"[451, 257]","[498, 220]","[407, 226]","[758, 1104]","[178, 572]","[782, 1177]","[188, 546]","[758, 1187]","[219, 514]","[744, 1154]","[221, 521]"
"[451, 257]","[497, 219]","[407, 226]","[762, 1090]","[178, 585]","[787, 1167]","[182, 556]","[767, 1176]","[211, 524]","[746, 1143]","[215, 530]"
"[451, 257]","[496, 219]","[405, 227]","[766, 1085]","[174, 585]","[793, 1163]","[181, 553]","[774, 1173]","[208, 525]","[753, 1140]","[212, 533]"
"[452, 257]","[498, 219]","[404, 227]","[766, 1072]","[170, 584]","[795, 1153]","[177, 550]","[770, 1163]","[203, 521]","[755, 1131]","[206, 532]"
"[452, 257]","[497, 218]","[403, 227]","[763, 1068]","[164, 579]","[788, 1151]","[172, 548]","[769, 1161]","[196, 518]","[750, 1128]","[201, 529]"
"[452, 257]","[498, 218]","[402, 227]","[762, 1065]","[160, 574]","[785, 1147]","[172, 544]","[768, 1158]","[195, 515]","[748, 1125]","[198, 525]"
"[452, 256]","[498, 217]","[401, 227]","[760, 1059]","[159, 571]","[783, 1140]","[172, 542]","[767, 1152]","[196, 515]","[748, 1120]","[198, 525]"
"[451, 256]","[497, 217]","[400, 227]","[759, 1058]","[158, 571]","[782, 1140]","[170, 543]","[767, 1151]","[196, 517]","[747, 1118]","[198, 527]"
"[451, 256]","[497, 217]","[400, 227]","[759, 1055]","[157, 571]","[781, 1139]","[171, 546]","[766, 1148]","[198, 520]","[746, 1115]","[199, 528]"
"[451, 256]","[497, 217]","[399, 227]","[758, 1054]","[157, 570]","[781, 1137]","[171, 548]","[765, 1145]","[198, 521]","[746, 1114]","[199, 529]"
"[451, 256]","[497, 217]","[398, 228]","[758, 1052]","[157, 569]","[783, 1135]","[172, 547]","[767, 1143]","[199, 521]","[746, 1112]","[200, 529]"
"[450, 256]","[497, 217]","[398, 228]","[759, 1052]","[156, 569]","[784, 1135]","[172, 546]","[768, 1143]","[199, 521]","[747, 1112]","[200, 528]"
"[450, 256]","[497, 217]","[398, 228]","[759, 1052]","[156, 568]","[784, 1135]","[172, 546]","[768, 1143]","[200, 521]","[747, 1112]","[200, 528]"
"[450, 256]","[497, 217]","[397, 228]","[759, 1051]","[156, 568]","[784, 1134]","[172, 546]","[767, 1142]","[200, 520]","[748, 1110]","[200, 528]"
"[450, 256]","[496, 217]","[397, 228]","[759, 1051]","[156, 567]","[784, 1134]","[171, 545]","[767, 1142]","[199, 520]","[748, 1110]","[199, 527]"
"[450, 256]","[496, 216]","[396, 228]","[759, 1051]","[156, 568]","[784, 1134]","[171, 545]","[768, 1142]","[198, 519]","[748, 1110]","[198, 527]"
"[449, 256]","[496, 216]","[396, 227]","[759, 1051]","[156, 569]","[784, 1134]","[171, 545]","[766, 1142]","[198, 519]","[748, 1110]","[198, 527]"
"[449, 256]","[496, 216]","[395, 227]","[759, 1051]","[156, 570]","[784, 1135]","[171, 547]","[764, 1142]","[198, 520]","[748, 1111]","[198, 528]"
"[448, 256]","[496, 215]","[394, 227]","[759, 1052]","[156, 573]","[784, 1135]","[171, 548]","[763, 1143]","[198, 521]","[748, 1111]","[198, 529]"
"[448, 256]","[495, 215]","[394, 227]","[759, 1054]","[157, 574]","[783, 1136]","[171, 549]","[763, 1145]","[198, 522]","[748, 1113]","[198, 530]"
"[447, 256]","[495, 215]","[393, 227]","[759, 1058]","[157, 576]","[783, 1138]","[171, 550]","[762, 1148]","[198, 522]","[748, 1116]","[198, 531]"
"[447, 256]","[495, 215]","[393, 227]","[759, 1059]","[157, 578]","[783, 1139]","[171, 551]","[761, 1149]","[197, 522]","[747, 1118]","[197, 531]"
"[447, 256]","[495, 215]","[393, 227]","[759, 1060]","[157, 579]","[783, 1139]","[171, 551]","[761, 1150]","[197, 523]","[747, 1118]","[197, 531]"
"[447, 256]","[494, 215]","[393, 227]","[760, 1060]","[157, 579]","[783, 1140]","[171, 552]","[761, 1150]","[197, 523]","[748, 1118]","[197, 532]"
"[446, 256]","[494, 215]","[393, 227]","[760, 1060]","[157, 579]","[784, 1140]","[171, 552]","[760, 1149]","[197, 523]","[748, 1118]","[197, 532]"
"[446, 256]","[494, 215]","[392, 227]","[761, 1058]","[157, 580]","[784, 1139]","[171, 552]","[761, 1149]","[197, 523]","[749, 1117]","[197, 532]"
"[446, 256]","[494, 215]","[392, 227]","[761, 1059]","[157, 580]","[785, 1139]","[171, 552]","[761, 1149]","[197, 523]","[749, 1117]","[197, 532]"
"[446, 256]","[494, 215]","[392, 227]","[761, 1059]","[158, 580]","[785, 1140]","[172, 552]","[761, 1149]","[197, 523]","[749, 1117]","[198, 533]"
"[446, 256]","[494, 215]","[392, 227]","[761, 1058]","[159, 580]","[785, 1139]","[172, 552]","[761, 1149]","[197, 524]","[749, 1117]","[198, 533]"
"[446, 256]","[494, 215]","[392, 227]","[761, 1060]","[159, 580]","[784, 1140]","[172, 552]","[760, 1149]","[198, 524]","[748, 1118]","[199, 533]"
"[446, 256]","[494, 214]","[392, 227]","[761, 1060]","[159, 580]","[784, 1141]","[172, 552]","[760, 1150]","[198, 524]","[748, 1118]","[199, 533]"
"[446, 256]","[494, 214]","[392, 227]","[761, 1061]","[160, 580]","[784, 1141]","[173, 552]","[760, 1150]","[199, 524]","[748, 1118]","[201, 533]"
"[446, 256]","[494, 214]","[392, 227]","[761, 1060]","[160, 580]","[784, 1141]","[173, 552]","[760, 1150]","[199, 524]","[748, 1118]","[201, 533]"
"[446, 255]","[494, 214]","[392, 227]","[761, 1059]","[160, 580]","[784, 1141]","[173, 552]","[760, 1150]","[200, 525]","[748, 1118]","[203, 534]"
"[446, 255]","[494, 214]","[392, 227]","[761, 1058]","[160, 579]","[785, 1141]","[173, 552]","[760, 1150]","[201, 526]","[749, 1118]","[205, 534]"
"[446, 255]","[494, 214]","[392, 227]","[761, 1058]","[161, 579]","[785, 1141]","[173, 552]","[765, 1150]","[202, 526]","[750, 1118]","[206, 534]"
"[446, 255]","[494, 214]","[392, 227]","[762, 1058]","[161, 579]","[786, 1141]","[174, 552]","[768, 1150]","[203, 526]","[750, 1118]","[207, 535]"
"[446, 255]","[493, 214]","[392, 227]","[762, 1058]","[161, 579]","[786, 1141]","[174, 553]","[768, 1150]","[203, 526]","[751, 1118]","[208, 535]"
"[446, 255]","[493, 214]","[392, 227]","[762, 1058]","[161, 579]","[787, 1141]","[174, 553]","[768, 1150]","[204, 527]","[751, 1119]","[208, 535]"
"[446, 255]","[493, 214]","[392, 227]","[762, 1058]","[161, 578]","[787, 1140]","[175, 553]","[768, 1150]","[204, 527]","[751, 1119]","[208, 535]"
"[446, 255]","[493, 214]","[392, 227]","[762, 1058]","[162, 578]","[787, 1140]","[175, 554]","[768, 1150]","[205, 528]","[752, 1118]","[209, 535]"
"[446, 255]","[493, 214]","[392, 227]","[762, 1057]","[162, 578]","[787, 1140]","[175, 554]","[769, 1149]","[205, 528]","[752, 1118]","[209, 535]"
"[446, 255]","[493, 214]","[393, 227]","[762, 1057]","[162, 579]","[787, 1139]","[176, 555]","[770, 1149]","[205, 529]","[752, 1118]","[209, 536]"
